gene_description,gene_rank
 cell division cycle 6,2
 MOB kinase activator 1B,2
 MOB kinase activator 1A,2
 MNAT1 component of CDK activating kinase,2
 DNA nucleotidylexotransferase,2
 MLX interacting protein like,2
 MLX interacting protein,2
 MHC class I polypeptide-related sequence B,2
 cathepsin Z,2
 RNA polymerase III subunit D,2
 adrenomedullin,2
 RNA polymerase III subunit E,2
 THO complex 3,2
" SEC24 homolog C, COPII coat complex component",2
" SEC24 homolog B, COPII coat complex component",2
 fumarylacetoacetate hydrolase domain containing 1,2
 fumarylacetoacetate hydrolase,2
 fukutin related protein,2
 fukutin,2
 fucosyltransferase 7,2
" SEC24 homolog A, COPII coat complex component",2
 fucosyltransferase 6,2
 fucosyltransferase 5,2
 fucosyltransferase 3 (Lewis blood group),2
 forkhead box P3,2
 forkhead box O6,2
 TIMP metallopeptidase inhibitor 3,2
 forkhead box A2,2
" TLE family member 1, transcriptional corepressor",2
" TLE family member 2, transcriptional corepressor",2
 folliculin,2
 folate receptor gamma,2
 folate receptor beta,2
 folate receptor alpha,2
" SEC24 homolog D, COPII coat complex component",2
 gamma-butyrobetaine hydroxylase 1,2
" TLE family member 4, transcriptional corepressor",2
 dehydrogenase/reductase 4 like 2,2
" SEC63 homolog, protein translocation regulator",2
" SEC62 homolog, preprotein translocation factor",2
" TDP-glucose 4,6-dehydratase",2
 TEA domain transcription factor 1,2
 geranylgeranyl diphosphate synthase 1,2
 general transcription factor IIi,2
 general transcription factor IIH subunit 5,2
 TEA domain transcription factor 2,2
 TEA domain transcription factor 3,2
 general transcription factor IIE subunit 2,2
 TEA domain transcription factor 4,2
 general transcription factor IIE subunit 1,2
 general transcription factor IIA subunit 2,2
 general transcription factor IIA subunit 1 like,2
 general transcription factor IIA subunit 1,2
 gastrin releasing peptide receptor,2
 THO complex 1,2
 gastric inhibitory polypeptide receptor,2
 THO complex 2,2
 gap junction protein alpha 1,2
 gamma-glutamylcyclotransferase,2
" TLE family member 3, transcriptional corepressor",2
" TLE family member 6, subcortical maternal complex member",2
 essential meiotic structure-specific endonuclease 1,2
 Rac/Cdc42 guanine nucleotide exchange factor 6,2
 RUNX family transcription factor 3,2
 RUNX family transcription factor 2,2
 TRAF3 interacting protein 2,2
 exocyst complex component 7,2
 U2 small nuclear RNA auxiliary factor 1,2
 exocyst complex component 2,2
 U2 small nuclear RNA auxiliary factor 1 like 4,2
 U2 small nuclear RNA auxiliary factor 1 like 5,2
 RPS10-NUDT3 readthrough,2
 RPL36A-HNRNPH2 readthrough,2
" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4",2
 eukaryotic translation elongation factor 2,2
" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 5",2
" UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6",2
 eukaryotic elongation factor 2 kinase,2
 ethylmalonyl-CoA decarboxylase 1,2
 ethanolamine-phosphate phospho-lyase,2
 ethanolamine kinase 2,2
 ethanolamine kinase 1,2
 UDP-glucose ceramide glucosyltransferase,2
 esterase D,2
 Rab interacting lysosomal protein,2
 Rap guanine nucleotide exchange factor 5,2
 TLE family member 7,2
 Rap guanine nucleotide exchange factor 6,2
 TNF receptor associated protein 1,2
 TNF receptor superfamily member 10c,2
 TNF receptor superfamily member 10d,2
 TNF receptor superfamily member 11b,2
 TNF receptor superfamily member 17,2
 fatty acid binding protein 4,2
 Rho guanine nucleotide exchange factor 7,2
 fatty acid binding protein 2,2
 Rho guanine nucleotide exchange factor 26,2
 farnesyl-diphosphate farnesyltransferase 1,2
 Rho GTPase activating protein 5,2
 Rho GDP dissociation inhibitor gamma,2
 Rho GDP dissociation inhibitor beta,2
 Rho GDP dissociation inhibitor alpha,2
 exostosin like glycosyltransferase 3,2
 exostosin like glycosyltransferase 2,2
 Ras protein specific guanine nucleotide releasing factor 2,2
 exostosin like glycosyltransferase 1,2
 exostosin glycosyltransferase 2,2
 exostosin glycosyltransferase 1,2
 Ras association domain family member 6,2
 SET and MYND domain containing 1,2
 SET and MYND domain containing 2,2
" globoside alpha-1,3-N-acetylgalactosaminyltransferase 1 (FORS blood group)",2
 STIP1 homology and U-box containing protein 1,2
 guanylate cyclase 2C,2
 SUV39H1 histone lysine methyltransferase,2
 SUV39H2 histone lysine methyltransferase,2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1",2
 guanosine monophosphate reductase 2,2
 guanosine monophosphate reductase,2
 guanine deaminase,2
 growth hormone releasing hormone receptor,2
 growth hormone releasing hormone,2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 2",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3",2
" SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",2
" SPG11 vesicle trafficking associated, spatacsin",2
 SP100 nuclear antigen,2
 Sin3A associated protein 18,2
 gonadotropin releasing hormone receptor,2
 SUMO specific peptidase 2,2
 SRY-box transcription factor 2,2
 SET and MYND domain containing 3,2
 guanylate kinase 1,2
" ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",2
" ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5",2
 hemoglobin subunit beta,2
" ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",2
" ST3 beta-galactoside alpha-2,3-sialyltransferase 6",2
 2-aminoethanethiol dioxygenase,2
" ST3 beta-galactoside alpha-2,3-sialyltransferase 5",2
 hemoglobin subunit alpha 2,2
 hemoglobin subunit alpha 1,2
 hematopoietically expressed homeobox,2
 24-dehydrocholesterol reductase,2
" 3'(2'), 5'-bisphosphate nucleotidase 1",2
 STE20 related adaptor alpha,2
 3-hydroxybutyrate dehydrogenase 1,2
 3-hydroxybutyrate dehydrogenase 2,2
" ST3 beta-galactoside alpha-2,3-sialyltransferase 4",2
 3-hydroxyisobutyrate dehydrogenase,2
 ST20-MTHFS readthrough,2
 heat shock protein family A (Hsp70) member 9,2
 STE20 related adaptor beta,2
 STEAP3 metalloreductase,2
 SMAD family member 9,2
 SMAD family member 7,2
 SMAD family member 5,2
 glypican 1,2
 glutamate ionotropic receptor kainate type subunit 3,2
 glutamate ionotropic receptor kainate type subunit 2,2
 glutamate ionotropic receptor kainate type subunit 1,2
 glutamate ionotropic receptor delta type subunit 2,2
 TATA-box binding protein associated factor 4,2
 TATA-box binding protein associated factor 4b,2
 SH2B adaptor protein 2,2
 glucuronic acid epimerase,2
" SET domain containing 2, histone lysine methyltransferase",2
 glucosylceramidase beta 3 (gene/pseudogene),2
" SET domain containing 1B, histone lysine methyltransferase",2
" SET domain containing 1A, histone lysine methyltransferase",2
 glucosaminyl (N-acetyl) transferase 4,2
" glucosaminyl (N-acetyl) transferase 3, mucin type",2
 SET domain bifurcated histone lysine methyltransferase 2,2
 glucosaminyl (N-acetyl) transferase 2 (I blood group),2
 glucosaminyl (N-acetyl) transferase 1,2
 glucosamine-6-phosphate deaminase 2,2
 glucosamine-6-phosphate deaminase 1,2
 glucagon receptor,2
 SET domain and mariner transposase fusion gene,2
 TATA-box binding protein associated factor 15,2
 glutamate ionotropic receptor kainate type subunit 4,2
 glutamate ionotropic receptor kainate type subunit 5,2
 glycine N-methyltransferase,2
 glyoxalase I,2
 glycosylphosphatidylinositol specific phospholipase D1,2
 glycosylphosphatidylinositol anchor attachment 1,2
 glycoprotein VI platelet,2
" SH3 domain containing GRB2 like, endophilin B1",2
 glycophorin A (MNS blood group),2
 glycogenin 2,2
 glycogenin 1,2
 glycine-N-acyltransferase,2
 glycine C-acetyltransferase,2
 glutaminyl-tRNA amidotransferase subunit QRSL1,2
 glycerophosphodiester phosphodiesterase domain containing 3,2
 glycerophosphodiester phosphodiesterase domain containing 1,2
 glycerophosphocholine phosphodiesterase 1,2
 glyceronephosphate O-acyltransferase,2
" glyceraldehyde-3-phosphate dehydrogenase, spermatogenic",2
 glutathione S-transferase zeta 1,2
 glutamyl-tRNA amidotransferase subunit C,2
 glutamyl-tRNA amidotransferase subunit B,2
 glutaminyl-tRNA synthetase 1,2
 RPL17-C18orf32 readthrough,2
 G protein subunit alpha transducin 3,2
" RNA, 5S ribosomal 12",2
 UPF3B regulator of nonsense mediated mRNA decay,2
" RNA, 5S ribosomal 8",2
" RNA, 5S ribosomal 7",2
" RNA, 5S ribosomal 6",2
" RNA, 5.8S ribosomal N5",2
 WT1 interacting protein,2
 dopamine receptor D3,2
 RNA polymerase III subunit K,2
 dopamine receptor D4,2
 dermatan sulfate epimerase,2
 Yes1 associated transcriptional regulator,2
 ectodysplasin A,2
 enhancer of zeste 1 polycomb repressive complex 2 subunit,2
 enolase superfamily member 1,2
 enolase-phosphatase 1,2
 double PHD fingers 1,2
 Z-DNA binding protein 1,2
 double PHD fingers 3,2
 enoyl-CoA delta isomerase 2,2
 drosha ribonuclease III,2
" RNA, 5S ribosomal 5",2
" RNA, 5S ribosomal 4",2
" RNA, 5S ribosomal 3",2
" RNA, 5S ribosomal 2",2
" RNA, 5S ribosomal 17",2
 deoxythymidylate kinase,2
" RNA, 5S ribosomal 9",2
 ectodysplasin A receptor,2
 ectodysplasin A2 receptor,2
 endothelial cell adhesion molecule,2
 WW domain containing transcription regulator 1,2
" RNA, 5.8S ribosomal N3",2
" RNA, 5.8S ribosomal N4",2
 WW and C2 domain containing 1,2
" RNA, 5.8S ribosomal N2",2
 dimethylglycine dehydrogenase,2
 dolichol kinase,2
 dolichyl-phosphate N-acetylglucosaminephosphotransferase 1,2
" dolichyl-phosphate mannosyltransferase subunit 1, catalytic",2
" dolichyl-phosphate mannosyltransferase subunit 3, regulatory",2
 endothelial PAS domain protein 1,2
 VAC14 component of PIKFYVE complex,2
 ectonucleotide pyrophosphatase/phosphodiesterase 2,2
 dolichyldiphosphatase 1,2
 ectonucleotide pyrophosphatase/phosphodiesterase 7,2
 ectonucleotide pyrophosphatase/phosphodiesterase 6,2
" RNA, 5.8S ribosomal N1",2
 dicarbonyl and L-xylulose reductase,2
" XPA, DNA damage recognition and repair factor",2
 diacylglycerol lipase beta,2
 dopamine beta-hydroxylase,2
 diacylglycerol lipase alpha,2
 diablo IAP-binding mitochondrial protein,2
 ectonucleotide pyrophosphatase/phosphodiesterase 4,2
" RNA, 5S ribosomal 1",2
 WW domain containing E3 ubiquitin protein ligase 1,2
 UPF3A regulator of nonsense mediated mRNA decay,2
 dynein cytoplasmic 2 light intermediate chain 1,2
 deoxyguanosine kinase,2
" RNA, 5S ribosomal 15",2
 epoxide hydrolase 3,2
 RNA polymerase III subunit H,2
 RNF103-CHMP3 readthrough,2
" RNA, 5S ribosomal 13",2
 ZFP36 ring finger protein,2
 dehydrogenase/reductase 9,2
" RNA, 5S ribosomal 11",2
 RNA polymerase III subunit GL,2
" RNA, 5S ribosomal 14",2
 RNA polymerase III subunit G,2
 RNA polymerase III subunit F,2
 epoxide hydrolase 4,2
 3-ketodihydrosphingosine reductase,2
 deoxyribose-phosphate aldolase,2
 5'-3' exoribonuclease 1,2
 5'-3' exoribonuclease 2,2
" RNA, 5S ribosomal 10",2
 dual specificity phosphatase 9,2
 UPF1 RNA helicase and ATPase,2
" RNA, 5S ribosomal 16",2
 dynein light chain LC8-type 1,2
 WEE1 G2 checkpoint kinase,2
 UPF2 regulator of nonsense mediated mRNA decay,2
 WEE2 oocyte meiosis inhibiting kinase,2
 dynein light chain LC8-type 2,2
 SIX homeobox 4,1
" SH3 domain containing GRB2 like 3, endophilin A3",1
 small nuclear ribonucleoprotein U5 subunit 200,1
 serpin family B member 3,1
 small nuclear ribonucleoprotein U5 subunit 40,1
 serpin family B member 4,1
 small nuclear ribonucleoprotein polypeptide A,1
 SLIT-ROBO Rho GTPase activating protein 3,1
 single-strand-selective monofunctional uracil-DNA glycosylase 1,1
" SLU7 homolog, splicing factor",1
" SLX1 homolog A, structure-specific endonuclease subunit",1
 signaling lymphocytic activation molecule family member 1,1
 SH3 domain containing kinase binding protein 1,1
 serpin family B member 6,1
" SLX1 homolog B, structure-specific endonuclease subunit",1
 LY6/PLAUR domain containing 6,1
 small nuclear ribonucleoprotein polypeptide A',1
 serpin family B member 9,1
 small nuclear ribonucleoprotein polypeptide B2,1
 RNA polymerase I subunit F,1
 SLX4 structure-specific endonuclease subunit,1
 serpin family C member 1,1
 RNA polymerase I subunit E,1
 serpin family D member 1,1
" SH3 domain containing GRB2 like, endophilin B2",1
 RNA polymerase I subunit H,1
 small nuclear ribonucleoprotein U4/U6.U5 subunit 27,1
" LSM1 homolog, mRNA degradation associated",1
 serpin family B member 13,1
 small nuclear ribonucleoprotein U1 subunit 70,1
 LDL receptor related protein associated protein 1,1
 SKI like proto-oncogene,1
 SLC9A3 regulator 2,1
 small nuclear ribonucleoprotein D2 polypeptide,1
 SIX homeobox 1,1
 LIM domain 7,1
 LIM domain binding 1,1
 small VCP interacting protein,1
 small RNA binding exonuclease protection factor La,1
 serpin family B member 2,1
 SIVA1 apoptosis inducing factor,1
 small ArfGAP2,1
 SLIT-ROBO Rho GTPase activating protein 1,1
 proteasome activator subunit 4,1
 slit guidance ligand 3,1
 slit guidance ligand 2,1
 slit guidance ligand 1,1
 SIL1 nucleotide exchange factor,1
 SHOC2 leucine rich repeat scaffold protein,1
 SLIT-ROBO Rho GTPase activating protein 2,1
 LIM domain only 2,1
 LIM homeobox 5,1
 LMBR1 domain containing 1,1
 small ArfGAP 1,1
 M-phase phosphoprotein 6,1
 proteasome inhibitor subunit 1,1
 LY6/PLAUR domain containing 6B,1
 signal recognition particle 72,1
 signal recognition particle 68,1
 signal recognition particle 54,1
 signal recognition particle 19,1
 signal recognition particle 14,1
" signal peptide, CUB domain and EGF like domain containing 2",1
 signal peptidase complex subunit 3,1
" seryl-tRNA synthetase 2, mitochondrial",1
 signal peptidase complex subunit 2,1
 protein O-glucosyltransferase 1,1
" SH3 domain containing GRB2 like 2, endophilin A1",1
 signal peptidase complex subunit 1,1
 SH3 domain binding protein 2,1
 MAPK associated protein 1,1
 signal induced proliferation associated 1 like 3,1
 signal induced proliferation associated 1 like 2,1
 MAPK activated protein kinase 5,1
 signal induced proliferation associated 1 like 1,1
 MAGE family member D1,1
 RNA polymerase I subunit A,1
" SH3 domain containing GRB2 like 1, endophilin A2",1
 shisa family member 5,1
 sialophorin,1
 sialic acid binding Ig like lectin 9,1
 shugoshin 1,1
 sialic acid binding Ig like lectin 1,1
 MAGUK p55 scaffold protein 4,1
 protein O-fucosyltransferase 2,1
 seryl-tRNA synthetase 1,1
 signal recognition particle 9,1
 SH3 and multiple ankyrin repeat domains 2,1
 LYL1 basic helix-loop-helix family member,1
 proteasome maturation protein,1
 serpin family F member 1,1
 Ly6/neurotoxin 1,1
 M-phase phosphoprotein 10,1
 proteasome subunit beta 11,1
" rabaptin, RAB GTPase binding effector protein 1",1
 serpin family F member 2,1
 MAF bZIP transcription factor B,1
 signal sequence receptor subunit 4,1
 signal sequence receptor subunit 3,1
 protein S,1
" rabenosyn, RAB effector",1
 small nuclear ribonucleoprotein polypeptide C,1
 SH3 and multiple ankyrin repeat domains 3,1
 MAS related GPR family member D,1
 signal sequence receptor subunit 2,1
 protein C receptor,1
" protein C, inactivator of coagulation factors Va and VIIIa",1
 protein O-fucosyltransferase 1,1
 MARVEL domain containing 3,1
 RNA polymerase I subunit B,1
 MARVEL domain containing 2,1
 signal sequence receptor subunit 1,1
 signal regulatory protein gamma,1
 signal regulatory protein beta 1,1
 signal regulatory protein alpha,1
 ribonuclease P/MRP subunit p30,1
 SMAD family member 6,1
 solute carrier family 26 member 1,1
 SSX family member 2,1
 solute carrier family 25 member 29,1
 HNF1 homeobox B,1
 HNF1 homeobox A,1
 HESX homeobox 1,1
 SSX family member 2 interacting protein,1
" HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",1
 solute carrier family 26 member 2,1
" SSU72 homolog, RNA polymerase II CTD phosphatase",1
 HECT and RLD domain containing E3 ubiquitin protein ligase family member 1,1
 solute carrier family 26 member 4,1
 HECT and RLD domain containing E3 ubiquitin protein ligase 4,1
 SSX family member 2B,1
 solute carrier family 26 member 7,1
 HECT and RLD domain containing E3 ubiquitin protein ligase 3,1
 HECT and RLD domain containing E3 ubiquitin protein ligase 2,1
 SSX family member 1,1
 solute carrier family 25 member 20,1
 solute carrier family 27 member 3,1
 solute carrier family 22 member 7,1
 prostate and testis expressed 1,1
 ras homolog family member T1,1
 solute carrier family 22 member 3,1
 ras homolog family member T2,1
 solute carrier family 22 member 4,1
 solute carrier family 22 member 5,1
 receptor activity modifying protein 1,1
 solute carrier family 22 member 8,1
 solute carrier family 25 member 17,1
 solute carrier family 23 member 1,1
 SRY-box transcription factor 4,1
 solute carrier family 24 member 1,1
 solute carrier family 24 member 4,1
 SRY-box transcription factor 9,1
 solute carrier family 25 member 10,1
 SS18 subunit of BAF chromatin remodeling complex,1
 HEAT repeat containing 1,1
 ST14 transmembrane serine protease matriptase,1
 HSPA (Hsp70) binding protein 1,1
 solute carrier family 38 member 9,1
 G2 and S-phase expressed 1,1
 receptor tyrosine kinase like orphan receptor 1,1
 prostaglandin D2 receptor,1
 G1 to S phase transition 2,1
 proprotein convertase subtilisin/kexin type 9,1
 G1 to S phase transition 1,1
 solute carrier family 38 member 5,1
 G protein-coupled receptor class C group 6 member A,1
 solute carrier family 36 member 4,1
 G protein-coupled receptor 83,1
 G protein-coupled receptor 50,1
 G protein-coupled receptor 35,1
 G protein-coupled receptor 161,1
 G protein-coupled receptor 156,1
 receptor tyrosine kinase like orphan receptor 2,1
 G protein subunit alpha z,1
 solute carrier family 37 member 4,1
 solute carrier family 36 member 3,1
 GUCA1ANB-GUCA1A readthrough,1
 receptor activity modifying protein 2,1
 regenerating family member 4,1
 solute carrier family 29 member 1 (Augustine blood group),1
 solute carrier family 29 member 2,1
 solute carrier family 29 member 3,1
 solute carrier family 3 member 1,1
 GTP binding protein 4,1
 solute carrier family 30 member 1,1
 GRIP and coiled-coil domain containing 2,1
 solute carrier family 36 member 2,1
 receptor activity modifying protein 3,1
 GRB2 related adaptor protein 2,1
 receptor for activated C kinase 1,1
 recoverin,1
 GM2 ganglioside activator,1
 GAR1 ribonucleoprotein,1
 solute carrier family 36 member 1,1
 solute carrier family 22 member 2,1
 solute carrier family 2 member 5,1
 small nuclear ribonucleoprotein polypeptide E,1
 sodium voltage-gated channel alpha subunit 3,1
 ral guanine nucleotide dissociation stimulator like 2,1
 proteasome 20S subunit beta 10,1
 regulator of calcineurin 2,1
 KRIT1 ankyrin repeat containing,1
" SPG21 abhydrolase domain containing, maspardin",1
 sodium voltage-gated channel alpha subunit 1,1
 sodium voltage-gated channel alpha subunit 2,1
" SPT20 homolog, SAGA complex component",1
 SNF8 subunit of ESCRT-II,1
 sodium voltage-gated channel alpha subunit 5,1
 sodium voltage-gated channel alpha subunit 7,1
 sodium voltage-gated channel alpha subunit 9,1
 sodium voltage-gated channel beta subunit 1,1
 sodium voltage-gated channel beta subunit 4,1
" SPT3 homolog, SAGA and STAGA complex component",1
 SRP receptor subunit alpha,1
 snurportin 1,1
 Kruppel like factor 3,1
 KDEL endoplasmic reticulum protein retention receptor 2,1
 proteasome 20S subunit beta 8,1
 small nuclear ribonucleoprotein polypeptide F,1
 small nuclear ribonucleoprotein polypeptide G,1
 regulatory factor X6,1
" small nucleolar RNA, C/D box 3A",1
 proteasome 20S subunit beta 9,1
" small nucleolar RNA, C/D box 3B-1",1
" small nucleolar RNA, C/D box 3B-2",1
" small nucleolar RNA, C/D box 3C",1
 serpin family B member 10,1
" small nucleolar RNA, C/D box 3E",1
 ral guanine nucleotide dissociation stimulator like 1,1
 SMG1 nonsense mediated mRNA decay associated PI3K related kinase,1
 SMG5 nonsense mediated mRNA decay factor,1
 SMG6 nonsense mediated mRNA decay factor,1
 Kruppel like factor 5,1
 SMG7 nonsense mediated mRNA decay factor,1
 KDEL endoplasmic reticulum protein retention receptor 3,1
 KDEL endoplasmic reticulum protein retention receptor 1,1
 prostate and testis expressed 2,1
 solute carrier family 19 member 2,1
 IQ motif containing E,1
 regulating synaptic membrane exocytosis 2,1
 IQ motif and Sec7 domain ArfGEF 3,1
 IQ motif and Sec7 domain ArfGEF 2,1
 IQ motif and Sec7 domain ArfGEF 1,1
 SRSF protein kinase 1,1
 IMP U3 small nucleolar ribonucleoprotein 4,1
 solute carrier family 19 member 3,1
 RNA terminal phosphate cyclase like 1,1
 IMP U3 small nucleolar ribonucleoprotein 3,1
 SRY-box transcription factor 17,1
 IFI30 lysosomal thiol reductase,1
 prostate and testis expressed 4,1
 HUS1 checkpoint clamp component,1
 ras homolog family member Q,1
 prostate and testis expressed 3,1
 ras homolog family member J,1
 regulator of G protein signaling 14,1
 ISY1-RAB43 readthrough,1
 solute carrier family 15 member 1,1
 solute carrier family 10 member 2,1
 solute carrier family 11 member 1,1
 ISY1 splicing factor homolog,1
 IST1 factor associated with ESCRT-III,1
 solute carrier family 12 member 5,1
 solute carrier family 12 member 7,1
 ras homolog family member B,1
 ISL LIM homeobox 1,1
 IQ motif containing GTPase activating protein 2,1
 solute carrier family 16 member 2,1
 solute carrier family 16 member 3,1
 solute carrier family 17 member 5,1
 IQ motif containing GTPase activating protein 3,1
 regulator of G protein signaling 3,1
 ras homolog family member D,1
 SRP receptor subunit beta,1
 snail family transcriptional repressor 1,1
 MLLT3 super elongation complex subunit,1
 SH3 and multiple ankyrin repeat domains 1,1
 Rho guanine nucleotide exchange factor 28,1
 RAB11 family interacting protein 3,1
 RAB11 family interacting protein 2,1
 RAB11 family interacting protein 1,1
 REC8 meiotic recombination protein,1
 RELT TNF receptor,1
 REST corepressor 1,1
 R-spondin 4,1
 R-spondin 3,1
 R-spondin 2,1
 R-spondin 1,1
 REV1 DNA directed polymerase,1
 pumilio RNA binding family member 2,1
 RIO kinase 1,1
" RNA, U6 small nuclear 9",1
 protein phosphatase 1 regulatory inhibitor subunit 14A,1
 S100 calcium binding protein A10,1
 PWP2 small subunit processome component,1
 RAB11 family interacting protein 4,1
 RAB11 family interacting protein 5,1
 retinol binding protein 2,1
 Rho related BTB domain containing 2,1
" RB binding protein 5, histone lysine methyltransferase complex subunit",1
" RB binding protein 8, endonuclease",1
" RNA, variant U1 small nuclear 1",1
 Rho related BTB domain containing 1,1
 protein phosphatase 1 regulatory subunit 17,1
 protein phosphatase 1 regulatory subunit 15A,1
" RAB27B, member RAS oncogene family",1
 Rho/Rac guanine nucleotide exchange factor 18,1
" RAB13, member RAS oncogene family",1
" Ro60, Y RNA binding protein",1
 pumilio RNA binding family member 1,1
 RuvB like AAA ATPase 1,1
" RAB22A, member RAS oncogene family",1
" RAB1B, member RAS oncogene family",1
 S-antigen visual arrestin,1
" RAB14, member RAS oncogene family",1
 PVR cell adhesion molecule,1
 S100 calcium binding protein A7,1
 S100 calcium binding protein A7A,1
 PARN like ribonuclease domain containing exonuclease 1,1
 PHD finger protein 10,1
 PH domain and leucine rich repeat protein phosphatase 2,1
 PH domain and leucine rich repeat protein phosphatase 1,1
" RNA, U4 small nuclear 1",1
 PCF11 cleavage and polyadenylation factor subunit,1
 PBX homeobox 3,1
" PAT1 homolog 1, processing body mRNA decay factor",1
 protein kinase cAMP-dependent type II regulatory subunit alpha,1
 protein kinase cAMP-dependent type II regulatory subunit beta,1
 protein kinase cAMP-dependent type I regulatory subunit beta,1
 P2Y receptor family member 8,1
 P2Y receptor family member 10,1
 OXA1L mitochondrial inner membrane protein,1
 OTU deubiquitinase 5,1
 OS9 endoplasmic reticulum lectin,1
 ORAI calcium release-activated calcium modulator 3,1
 PHD finger protein 5A,1
" RNA, U4 small nuclear 2",1
 S100 calcium binding protein A8,1
 S100 calcium binding protein A9,1
 PR/SET domain 4,1
 retinoic acid early transcript 1L,1
 retinoic acid early transcript 1G,1
 PPARG coactivator 1 beta,1
 POU class 5 homeobox 1B,1
 POU class 5 homeobox 1,1
" RNA, U6 small nuclear 1",1
 retinoic acid early transcript 1E,1
 SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1,1
" RNA, U5A small nuclear 1",1
 POU class 1 homeobox 1,1
" POP7 homolog, ribonuclease P/MRP subunit",1
" POP5 homolog, ribonuclease P/MRP subunit",1
" POP4 homolog, ribonuclease P/MRP subunit",1
" POP1 homolog, ribonuclease P/MRP subunit",1
 S100 calcium binding protein G,1
 Rho guanine nucleotide exchange factor 4,1
" RAB2A, member RAS oncogene family",1
 SH2B adaptor protein 3,1
" RB binding protein 4, chromatin remodeling factor",1
 protein tyrosine phosphatase non-receptor type 2,1
 protein tyrosine phosphatase non-receptor type 13,1
 ribonuclease A family member 3,1
 RAD9 checkpoint clamp component B,1
 ribosomal RNA processing 7 homolog A,1
 RPTOR independent companion of MTOR complex 2,1
 RAD9 checkpoint clamp component A,1
 RUN and FYVE domain containing 1,1
 RAD54 like,1
 RAD54 homolog B,1
" RAD52 homolog, DNA repair protein",1
 RAD51 paralog D,1
 RUN and FYVE domain containing 2,1
" protein phosphatase, Mg2+/Mn2+ dependent 1D",1
 RAS p21 protein activator 4,1
 RAS p21 protein activator 4B,1
 RAS protein activator like 1,1
 protein tyrosine phosphatase non-receptor type 5,1
 ribonuclease H1,1
 protein tyrosine phosphatase non-receptor type 7,1
 ribonuclease P/MRP subunit p40,1
 ribonuclease P/MRP subunit p25 like,1
 ribonuclease P/MRP subunit p38,1
 protein tyrosine phosphatase receptor type B,1
 ribonuclease P and MRP subunit p25,1
 G protein subunit alpha transducin 2,1
 RAS p21 protein activator 3,1
 ribonuclease H2 subunit C,1
 ribonuclease H2 subunit B,1
 RAN binding protein 17,1
" RNA, variant U1 small nuclear 7",1
 RAR related orphan receptor B,1
 protein tyrosine phosphatase receptor type N,1
" RAP2C, member of RAS oncogene family",1
 RAP1 GTPase activating protein,1
 RAN binding protein 3,1
 ribonuclease H2 subunit A,1
 RAD51 paralog B,1
" protein phosphatase, Mg2+/Mn2+ dependent 1B",1
" protein phosphatase, Mg2+/Mn2+ dependent 1A",1
" RAB31, member RAS oncogene family",1
" proteoglycan 2, pro eosinophil major basic protein",1
" RNA, variant U1 small nuclear 4",1
" RAB35, member RAS oncogene family",1
" RNA, variant U1 small nuclear 20",1
" RAB33B, member RAS oncogene family",1
 RecQ mediated genome instability 1,1
 RecQ mediated genome instability 2,1
 RAS protein activator like 2,1
 retinol saturase,1
" RNA, variant U1 small nuclear 18",1
 Rho GTPase activating protein 10,1
 Rho GTPase activating protein 17,1
 RAS protein activator like 3,1
 Rho family GTPase 1,1
 RB associated KRAB zinc finger,1
 protein phosphatase 1 regulatory subunit 3F,1
 Ras converting CAAX endopeptidase 1,1
 Ras association domain family member 4,1
 protein phosphatase 5 catalytic subunit,1
" RAB8B, member RAS oncogene family",1
 protein phosphatase 4 regulatory subunit 3C,1
 RAD21 cohesin complex component,1
 protein phosphatase 4 regulatory subunit 3B,1
 RAD1 checkpoint DNA exonuclease,1
 protein phosphatase 4 regulatory subunit 3A,1
 protein tyrosine phosphatase receptor type N2,1
 protein phosphatase 4 catalytic subunit,1
 rhodopsin,1
 Ras association domain family member 2,1
 protein tyrosine phosphatase receptor type R,1
 Ran GTPase activating protein 1,1
" RAB4A, member RAS oncogene family",1
 protein tyrosine phosphatase receptor type Z1,1
 reversion inducing cysteine rich protein with kazal motifs,1
" RAB3D, member RAS oncogene family",1
